opportunity_name,funder_name,program_name,source_type,country,province_or_territory,sector,beneficiary_group,organization_type,maximum_amount,deadline,status,source_url,short_summary,best_fit_orgs,notes,last_verified_on
Government of Canada Grants and Funding Portal,Government of Canada,Grants and Funding Portal,Federal department,Canada,National,Multi-sector,General community impact,Nonprofit or charity,,Rolling,Open,https://www.canada.ca/en/government/grants-funding.html,Broad federal starting point for grants and contributions across sectors,Nonprofits seeking multiple public funding options,Use as a top-level discovery source before narrowing to specific departments,2026-04-24
Employment and Social Development Canada,Government of Canada,ESDC Funding Programs,Federal department,Canada,National,Social development,Youth seniors workforce accessibility,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/employment-social-development/services/funding.html,Federal funding source for employment inclusion and social development initiatives,Organizations working in jobs training seniors accessibility or social inclusion,Review live calls because themes and windows vary by program,2026-04-24
Canadian Heritage,Government of Canada,Canadian Heritage Funding,Federal department,Canada,National,Arts culture heritage official languages,Cultural communities and artists,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/canadian-heritage/services/funding.html?lang=en,National source for heritage arts language and community celebration funding,Arts groups heritage organizations festivals and community cultural organizations,Strong source when programming connects to identity culture or public heritage work,2026-04-24
Canada Council for the Arts,Canada Council for the Arts,Funding Programs,Foundation,Canada,National,Arts and culture,Artists and arts audiences,Arts nonprofit,,Varies,Open,https://canadacouncil.ca/funding,National arts funding source with multiple grant streams,Arts organizations festivals publishers and collectives,Track by discipline and deadline rather than as a single grant,2026-04-24
Women and Gender Equality Canada,Women and Gender Equality Canada,Women's Program,Federal department,Canada,National,Gender equality,Women girls and gender diverse communities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/women-gender-equality/funding/funding-programs/womens-program.html,Project funding for systemic change that advances gender equality,Organizations serving women and girls with policy or program impact,Monitor calls because intake themes can shift,2026-04-24
New Horizons for Seniors Program,Government of Canada,New Horizons for Seniors Program,Federal program,Canada,National,Seniors and community inclusion,Older adults,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/employment-social-development/services/funding/new-horizons-seniors.html,Supports community participation and inclusion for seniors,Organizations serving older adults through inclusion mentoring or anti-isolation work,Good recurring source if your programs include seniors,2026-04-24
Enabling Accessibility Fund,Government of Canada,Enabling Accessibility Fund,Federal program,Canada,National,Accessibility,People with disabilities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/employment-social-development/programs/enabling-accessibility-fund.html,Supports accessibility upgrades and inclusive community infrastructure,Organizations improving accessibility in facilities or services,Useful for capital and accessibility-related improvements,2026-04-24
Building Communities Through Arts and Heritage,Government of Canada,Building Communities Through Arts and Heritage,Federal program,Canada,National,Arts culture heritage,Local communities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/canadian-heritage/services/funding/building-communities.html,Supports local festivals commemorations and heritage projects,Community groups heritage organizations and local event producers,Good fit for place-based cultural programming,2026-04-24
Multiculturalism and Anti-Racism Program,Government of Canada,Multiculturalism and Anti-Racism Program,Federal program,Canada,National,Inclusion and anti-racism,Diverse communities,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/canadian-heritage/services/funding/multiculturalism-action-program.html,Project funding for inclusion anti-racism and intercultural dialogue,Organizations focused on community inclusion and anti-racism outcomes,Relevant for many nonprofit programs serving diverse populations,2026-04-24
Canada Cultural Spaces Fund,Government of Canada,Canada Cultural Spaces Fund,Federal program,Canada,National,Arts and heritage,Artists and cultural audiences,Nonprofit or charity,,Varies,Open,https://www.canada.ca/en/canadian-heritage/services/funding/cultural-spaces-fund.html,Supports development and improvement of cultural spaces,Arts and heritage nonprofits operating venues or cultural facilities,Best for organizations with space infrastructure needs,2026-04-24
